timestamp,weather_id,weather_name,detection_count,avg_confidence,avg_detection_time
0.008999109268188477,6,HARDRAINNOON,0,0,0
6.301742,6,HARDRAINNOON,7,0.4855278560093471,0.036194467544555665
7.535781,6,HARDRAINNOON,18,0.49575620392958325,0.03133679628372192
9.466326,6,HARDRAINNOON,28,0.5253329670854977,0.038513557116190596
11.517288,6,HARDRAINNOON,35,0.534684990985053,0.04463702440261841
13.354338,6,HARDRAINNOON,40,0.5216425895690918,0.04833707809448242
15.396759,6,HARDRAINNOON,44,0.5164629071950912,0.05009186267852783
17.4045,6,HARDRAINNOON,47,0.5164521577510428,0.05248358249664307
19.492954,6,HARDRAINNOON,55,0.5176161375912753,0.04994020462036133
21.642642,6,HARDRAINNOON,61,0.5142201004458256,0.05249858167436388
23.912022,6,HARDRAINNOON,68,0.5119828410884913,0.05446780920028686
25.984749,6,HARDRAINNOON,77,0.5191709906249852,0.05595453002236106
28.207961,6,HARDRAINNOON,87,0.5313270328373745,0.059164496262868245
30.814807,6,HARDRAINNOON,95,0.5343691094925529,0.06096806342785175
33.302962,6,HARDRAINNOON,99,0.5379752658232294,0.0637425354548863
35.758137,6,HARDRAINNOON,104,0.538566874483457,0.0655312458674113
38.342562,6,HARDRAINNOON,109,0.5431119255516508,0.06599266678094864
40.5313,6,HARDRAINNOON,119,0.5569562964579639,0.06688145749709186
42.759864,6,HARDRAINNOON,127,0.5633815876611574,0.06873059140311347
45.69725,6,HARDRAINNOON,137,0.5714472799840635,0.06935466465197111
48.539605,6,HARDRAINNOON,147,0.577878724352843,0.07075660467147828
50.97617,6,HARDRAINNOON,157,0.588337424264592,0.06968276160103934
53.660736,6,HARDRAINNOON,167,0.5989316136180284,0.06998556418852372
56.315824,6,HARDRAINNOON,176,0.6073481262746182,0.07025806178217349
59.451949,6,HARDRAINNOON,185,0.6122820047107903,0.07231188913186391
63.967854,6,HARDRAINNOON,195,0.6209303735158382,0.07386301040649414
75.544675,6,HARDRAINNOON,200,0.6267219038307666,0.07451644402283888
86.843874,6,HARDRAINNOON,200,0.6267219038307666,0.07740598343036793
96.501821,6,HARDRAINNOON,200,0.6267219038307666,0.07726143939154488
107.019528,6,HARDRAINNOON,201,0.6272675725654583,0.07829545448566305
117.606285,6,HARDRAINNOON,210,0.6275398866051719,0.0799804973602295
128.614686,6,HARDRAINNOON,220,0.6261328638954596,0.08046594973533384
139.807058,6,HARDRAINNOON,230,0.6275777019884275,0.08302743062376976
151.288391,6,HARDRAINNOON,240,0.6279558047652245,0.08370259097128203
161.995375,6,HARDRAINNOON,250,0.6288944473266601,0.08370390218846938
170.919925,6,HARDRAINNOON,260,0.6313444304924745,0.08459011554718017
178.46398,6,HARDRAINNOON,270,0.633342981338501,0.08495940566062928
187.225348,6,HARDRAINNOON,280,0.6359461275594575,0.0854014963717074
196.598821,6,HARDRAINNOON,290,0.6374968604794864,0.08579348262987639
204.402109,6,HARDRAINNOON,298,0.6399691474917751,0.0867222969348614
213.232887,6,HARDRAINNOON,308,0.642169096253135,0.08681060075759887
223.307144,6,HARDRAINNOON,317,0.6445557300224665,0.08710528408608785
226.7498,6,HARDRAINNOON,327,0.6454542064156372,0.08686636118661789
229.912145,6,HARDRAINNOON,336,0.6477908280988535,0.08751608105592949
238.225041,6,HARDRAINNOON,345,0.6505484100701152,0.08810373869809238
248.204673,6,HARDRAINNOON,358,0.6557547937891337,0.08817478391859267
258.399016,6,HARDRAINNOON,376,0.659560779624797,0.08905674737432728
265.579797,6,HARDRAINNOON,392,0.6644636432127077,0.08873142384468241
267.965169,6,HARDRAINNOON,412,0.6704240917291456,0.08863563686609269
270.176878,6,HARDRAINNOON,429,0.674992652900847,0.08897125575007224
272.297359,6,HARDRAINNOON,439,0.6780581084633742,0.0889489574432373
274.466469,6,HARDRAINNOON,449,0.679521250963742,0.08895316217459884
276.426861,6,HARDRAINNOON,457,0.6814413815410706,0.08911735507158133
278.268651,6,HARDRAINNOON,466,0.6815539155906873,0.08883187770843506
280.019146,6,HARDRAINNOON,474,0.682258489514202,0.08786641359329224
281.871653,6,HARDRAINNOON,482,0.6823752260307059,0.08710953582416882
283.640511,6,HARDRAINNOON,482,0.6823752260307059,0.08618205061980656
285.325135,6,HARDRAINNOON,484,0.6811508904557583,0.08540995413796944
287.139992,6,HARDRAINNOON,487,0.6807705723284696,0.08436958666505484
288.697558,6,HARDRAINNOON,487,0.6807705723284696,0.08404053186966201
290.251168,6,HARDRAINNOON,487,0.6807705723284696,0.08325704415639242
291.803186,6,HARDRAINNOON,487,0.6807705723284696,0.08251930533862505
293.366087,6,HARDRAINNOON,487,0.6807705723284696,0.08194562927369148
294.905357,6,HARDRAINNOON,487,0.6807705723284696,0.08132468140314496
296.493938,6,HARDRAINNOON,487,0.6807705723284696,0.08039998039603233
298.017056,6,HARDRAINNOON,487,0.6807705723284696,0.07981474106128399
299.608516,6,HARDRAINNOON,487,0.6807705723284696,0.07915542775934392
301.4826,6,HARDRAINNOON,487,0.6807705723284696,0.07877714847450826
303.32107,6,HARDRAINNOON,487,0.6807705723284696,0.07838435628834893
305.272192,6,HARDRAINNOON,487,0.6807705723284696,0.07829913643823154
307.282512,6,HARDRAINNOON,487,0.6807705723284696,0.07838417257581438
309.654656,6,HARDRAINNOON,487,0.6807705723284696,0.07812039852142334
311.725978,6,HARDRAINNOON,487,0.6807705723284696,0.07810680501990848
313.822919,6,HARDRAINNOON,487,0.6807705723284696,0.07765644609111629
316.400621,6,HARDRAINNOON,487,0.6807705723284696,0.07762087422448236
