timestamp,frame_time,detection_time,num_detections,class_distribution,avg_confidence
5.789152,5.789151906967163,0.21358203887939453,1,{2: 1},0.5544648170471191
6.16324,0.05955862998962402,0.05728721618652344,2,{2: 2},0.47403836250305176
6.16324,0.05955862998962402,0.05728721618652344,2,{2: 2},0.47403836250305176
6.221754,0.05851387977600098,0.008002281188964844,2,{2: 2},0.47403836250305176
6.221754,0.05851387977600098,0.008002281188964844,2,{2: 2},0.47403836250305176
6.301742,0.07998847961425781,0.0070040225982666016,2,{2: 2},0.47403836250305176
6.301742,0.07998847961425781,0.0070040225982666016,2,{2: 2},0.47403836250305176
6.345556,0.04381370544433594,0.006999015808105469,2,{2: 2},0.47403836250305176
6.345556,0.04381370544433594,0.006999015808105469,2,{2: 2},0.47403836250305176
6.39945,0.0538942813873291,0.052514076232910156,1,{2: 1},0.47911742329597473
6.45319,0.053739309310913086,0.0070018768310546875,1,{2: 1},0.47911742329597473
6.497673,0.044483184814453125,0.00820469856262207,1,{2: 1},0.47911742329597473
6.754559,0.25688624382019043,0.006011009216308594,1,{2: 1},0.47911742329597473
6.830564,0.0760049819946289,0.05474066734313965,1,{2: 1},0.48197028040885925
7.089133,0.25856900215148926,0.005997896194458008,1,{2: 1},0.48197028040885925
7.177746,0.08861255645751953,0.07480669021606445,1,{2: 1},0.48197028040885925
7.451408,0.2736623287200928,0.040999412536621094,1,{2: 1},0.6072297096252441
7.535781,0.08437347412109375,0.007515907287597656,1,{2: 1},0.6072297096252441
7.814394,0.2786128520965576,0.037018775939941406,1,{2: 1},0.6417304873466492
7.92793,0.11353564262390137,0.007004261016845703,1,{2: 1},0.6417304873466492
8.214357,0.28642773628234863,0.03605842590332031,1,{2: 1},0.5943018198013306
8.285391,0.07103347778320312,0.006960391998291016,1,{2: 1},0.5943018198013306
8.604421,0.3190298080444336,0.19838190078735352,1,{2: 1},0.5261392593383789
8.72241,0.11798906326293945,0.013996362686157227,1,{2: 1},0.5261392593383789
9.049102,0.3266921043395996,0.04452228546142578,1,{2: 1},0.5617504119873047
9.126252,0.07714962959289551,0.006998777389526367,1,{2: 1},0.5617504119873047
9.3953,0.26904821395874023,0.044603586196899414,1,{2: 1},0.5689337253570557
9.466326,0.07102584838867188,0.13312602043151855,1,{2: 1},0.5689337253570557
9.734937,0.2686116695404053,0.044150352478027344,1,{2: 1},0.5115683674812317
9.798465,0.06352734565734863,0.007004499435424805,1,{2: 1},0.5115683674812317
10.139347,0.3408818244934082,0.04051923751831055,1,{2: 1},0.6442974805831909
10.266651,0.1273040771484375,0.08403158187866211,1,{2: 1},0.6442974805831909
10.578124,0.3114736080169678,0.03252816200256348,1,{2: 1},0.5537980198860168
10.656881,0.07875680923461914,0.09631776809692383,1,{2: 1},0.5537980198860168
10.943443,0.2865622043609619,0.22833824157714844,1,{2: 1},0.5853238701820374
11.805004,0.2877166271209717,0.04228472709655762,1,{2: 1},0.43478986620903015
11.878352,0.0733480453491211,0.00812983512878418,1,{2: 1},0.43478986620903015
12.548203,0.27275943756103516,0.04609274864196777,1,{2: 1},0.40146365761756897
12.631735,0.08353185653686523,0.008237123489379883,1,{2: 1},0.40146365761756897
12.929831,0.2980966567993164,0.20654988288879395,1,{2: 1},0.4792218506336212
14.497804,0.2843821048736572,0.040129899978637695,1,{2: 1},0.513836681842804
14.622231,0.12442684173583984,0.007995367050170898,1,{2: 1},0.513836681842804
