timestamp,warnings_count,warning_types,high_severity,medium_severity,low_severity
5.920355,1,{'car': 1},0,0,1
5.991531,0,{},0,0,0
6.037674,0,{},0,0,0
6.087211,0,{},0,0,0
6.158691,0,{},0,0,0
6.214316,0,{},0,0,0
6.255065,0,{},0,0,0
6.312885,0,{},0,0,0
6.368866,0,{},0,0,0
6.427963,0,{},0,0,0
6.492134,0,{},0,0,0
6.566123,0,{},0,0,0
6.617781,0,{},0,0,0
6.675229,0,{},0,0,0
6.985135,0,{},0,0,0
7.062316,0,{},0,0,0
7.368123,0,{},0,0,0
7.440351,0,{},0,0,0
7.781529,0,{},0,0,0
7.872908,0,{},0,0,0
8.208178,0,{},0,0,0
8.276686,0,{},0,0,0
8.59885,0,{},0,0,0
8.6623,0,{},0,0,0
8.94997,0,{},0,0,0
9.028485,0,{},0,0,0
9.307894,0,{},0,0,0
9.384085,0,{},0,0,0
9.660834,1,{'car': 1},0,0,1
9.764156,1,{'car': 1},0,0,1
10.060533,1,{'car': 1},0,0,1
10.134968,1,{'car': 1},0,0,1
10.464319,1,{'car': 1},0,0,1
10.550428,1,{'car': 1},0,0,1
10.843985,1,{'car': 1},0,0,1
10.912448,1,{'car': 1},0,0,1
11.260669,0,{},0,0,0
11.477768,0,{},0,0,0
11.803015,0,{},0,0,0
11.916806,0,{},0,0,0
12.220095,0,{},0,0,0
12.29722,1,{'car': 1},0,0,1
12.587834,0,{},0,0,0
12.70991,0,{},0,0,0
12.951155,0,{},0,0,0
13.050861,0,{},0,0,0
13.398299,0,{},0,0,0
13.617545,0,{},0,0,0
13.911369,0,{},0,0,0
13.973211,0,{},0,0,0
14.25264,0,{},0,0,0
14.497043,0,{},0,0,0
14.809333,0,{},0,0,0
14.889369,0,{},0,0,0
15.134121,0,{},0,0,0
15.242621,0,{},0,0,0
15.581027,0,{},0,0,0
15.778333,0,{},0,0,0
16.042434,0,{},0,0,0
16.120695,0,{},0,0,0
16.395905,0,{},0,0,0
16.487175,0,{},0,0,0
16.736096,0,{},0,0,0
16.80107,0,{},0,0,0
17.066559,0,{},0,0,0
17.1659,0,{},0,0,0
17.443447,0,{},0,0,0
17.554035,0,{},0,0,0
17.893042,1,{'car': 1},0,0,1
17.999085,1,{'car': 1},0,0,1
18.301621,1,{'car': 1},0,0,1
18.420006,1,{'car': 1},0,0,1
18.708033,1,{'car': 1},0,0,1
18.805342,1,{'car': 1},0,0,1
19.068243,1,{'car': 1},0,0,1
19.140633,1,{'car': 1},0,0,1
19.425386,1,{'car': 1},0,0,1
19.50612,1,{'car': 1},0,0,1
19.784619,1,{'car': 1},0,0,1
19.877507,1,{'car': 1},0,0,1
20.134087,1,{'car': 1},0,0,1
20.254959,1,{'car': 1},0,0,1
20.558191,1,{'car': 1},0,0,1
20.630348,1,{'car': 1},0,0,1
20.889092,1,{'car': 1},0,0,1
20.977412,1,{'car': 1},0,0,1
21.223474,1,{'car': 1},0,0,1
21.315134,1,{'car': 1},0,0,1
21.568228,1,{'car': 1},0,0,1
21.642141,1,{'car': 1},0,0,1
21.901564,1,{'car': 1},0,0,1
21.980697,1,{'car': 1},0,0,1
22.244102,1,{'car': 1},0,0,1
22.359472,1,{'car': 1},0,0,1
22.651432,0,{},0,0,0
22.749751,0,{},0,0,0
23.061824,1,{'car': 1},0,0,1
23.161727,0,{},0,0,0
23.49592,0,{},0,0,0
23.586711,0,{},0,0,0
23.89755,0,{},0,0,0
23.99997,0,{},0,0,0
24.32882,0,{},0,0,0
24.409701,0,{},0,0,0
24.778847,1,{'car': 1},0,0,1
24.996359,1,{'car': 1},0,0,1
25.285611,1,{'car': 1},0,0,1
25.359756,1,{'car': 1},0,0,1
25.646249,1,{'car': 1},0,0,1
25.713806,0,{},0,0,0
25.955146,1,{'car': 1},0,0,1
26.048624,1,{'car': 1},0,0,1
26.296551,1,{'car': 1},0,0,1
26.400839,1,{'car': 1},0,0,1
26.691758,1,{'car': 1},0,0,1
26.90533,1,{'car': 1},0,0,1
27.206067,1,{'car': 1},0,0,1
27.342095,1,{'car': 1},0,0,1
27.63549,0,{},0,0,0
27.83846,0,{},0,0,0
28.13499,0,{},0,0,0
28.20165,0,{},0,0,0
28.497263,0,{},0,0,0
28.714292,1,{'car': 1},0,0,1
29.037672,1,{'car': 1},0,0,1
29.118143,1,{'car': 1},0,0,1
29.428729,1,{'car': 1},0,0,1
29.554905,1,{'car': 1},0,0,1
29.854893,1,{'car': 1},0,0,1
29.952117,1,{'car': 1},0,0,1
30.208504,1,{'car': 1},0,0,1
30.28719,1,{'car': 1},0,0,1
30.548906,0,{},0,0,0
30.64215,0,{},0,0,0
30.870081,0,{},0,0,0
30.945306,0,{},0,0,0
31.189316,0,{},0,0,0
31.259689,0,{},0,0,0
31.552911,0,{},0,0,0
31.695498,0,{},0,0,0
32.012859,1,{'car': 1},0,0,1
32.140066,1,{'car': 1},0,0,1
32.492545,0,{},0,0,0
32.707692,0,{},0,0,0
33.047221,1,{'car': 1},0,0,1
33.280904,1,{'car': 1},0,0,1
33.606079,1,{'car': 1},0,0,1
33.692365,1,{'car': 1},0,0,1
33.958703,1,{'car': 1},0,0,1
34.067506,0,{},0,0,0
34.313955,0,{},0,0,0
34.452771,0,{},0,0,0
34.720274,1,{'car': 1},0,0,1
34.834302,1,{'car': 1},0,0,1
35.172942,1,{'car': 1},0,0,1
35.390748,1,{'car': 1},0,0,1
35.763068,1,{'car': 1},0,0,1
35.986771,1,{'car': 1},0,0,1
36.323954,1,{'car': 1},0,0,1
36.473815,1,{'car': 1},0,0,1
36.735787,1,{'car': 1},0,0,1
