timestamp,class_id,true_positives,false_negatives,precision,avg_confidence
5.916177,2,1,0,0.7872847566604615,0.47320884466171265
9.65885,2,1,0,0.8032322578430177,0.5638196468353271
9.761173,2,1,0,0.8032322578430177,0.5638196468353271
10.057412,2,1,0,0.7809958772659302,0.43747657537460327
10.131966,2,1,0,0.7809958772659302,0.43747657537460327
10.461319,2,1,0,0.7844768862724305,0.4572550356388092
10.54725,2,1,0,0.7793693275451661,0.4282348155975342
10.84098,2,1,0,0.7793693275451661,0.4282348155975342
10.909447,2,1,0,0.7809008917808533,0.4369368851184845
12.293695,2,1,0,0.7749259433746338,0.4029883146286011
17.890041,2,1,0,0.7728325543403626,0.39109405875205994
17.995085,2,1,0,0.7728325543403626,0.39109405875205994
18.297354,2,1,0,0.7907811813354493,0.493074893951416
18.415755,2,1,0,0.8083785209655763,0.593059778213501
18.704797,2,1,0,0.808927264213562,0.5961776375770569
18.801331,2,1,0,0.7835262498855592,0.4518536925315857
19.065237,2,1,0,0.7835262498855592,0.4518536925315857
19.137631,2,1,0,0.764875431060791,0.3458831310272217
19.422379,2,1,0,0.7600331330299378,0.3183700740337372
19.502119,2,1,0,0.7600331330299378,0.3183700740337372
19.780107,2,1,0,0.7829601345062257,0.44863712787628174
19.873506,2,1,0,0.7829601345062257,0.44863712787628174
20.131086,2,1,0,0.7818828682899476,0.4425162971019745
20.252958,2,1,0,0.7818828682899476,0.4425162971019745
20.554902,2,1,0,0.7887115268707277,0.4813154935836792
20.627217,2,1,0,0.7887115268707277,0.4813154935836792
20.88473,2,1,0,0.808113564491272,0.5915543437004089
20.973411,2,1,0,0.8146209802627564,0.6285282969474792
21.219495,2,1,0,0.8000108604431153,0.5455162525177002
21.312113,2,1,0,0.8000108604431153,0.5455162525177002
21.564914,2,1,0,0.8121693277359009,0.6145984530448914
21.638142,2,1,0,0.8121693277359009,0.6145984530448914
21.897344,2,1,0,0.7639952220916748,0.34088194370269775
21.97648,2,1,0,0.7639952220916748,0.34088194370269775
22.240919,2,1,0,0.7801788940429688,0.4328346252441406
22.356225,2,1,0,0.7801788940429688,0.4328346252441406
23.058854,2,1,0,0.7534969472885132,0.28123265504837036
24.775679,2,1,0,0.7593393387794495,0.31442806124687195
24.993345,2,1,0,0.7964496784210205,0.5252822637557983
25.281626,2,1,0,0.7964496784210205,0.5252822637557983
25.355605,2,1,0,0.768902057170868,0.36876168847084045
25.64225,2,1,0,0.7598674211502076,0.3174285292625427
25.952148,2,1,0,0.760075834274292,0.3186126947402954
26.045339,2,1,0,0.760075834274292,0.3186126947402954
26.293033,2,1,0,0.7666445088386535,0.3559347093105316
26.39658,2,1,0,0.7666445088386535,0.3559347093105316
26.688761,2,1,0,0.7764228944778443,0.411493718624115
26.902321,2,1,0,0.7764228944778443,0.411493718624115
27.202067,2,1,0,0.7925333223342896,0.5030302405357361
27.338096,2,1,0,0.7925333223342896,0.5030302405357361
28.71185,2,1,0,0.7558321404457092,0.29450079798698425
29.034452,2,1,0,0.7638602051734925,0.3401148021221161
29.114909,2,1,0,0.7638602051734925,0.3401148021221161
29.425464,2,1,0,0.771195472240448,0.38179245591163635
29.55092,2,1,0,0.7809632940292358,0.4372914433479309
29.852894,2,1,0,0.7665377688407898,0.355328232049942
29.947031,2,1,0,0.7665377688407898,0.355328232049942
30.206303,2,1,0,0.7748583955764771,0.40260452032089233
30.283835,2,1,0,0.7703425488471985,0.3769463002681732
32.009858,2,1,0,0.7749013905525208,0.4028488099575043
32.134731,2,1,0,0.7749013905525208,0.4028488099575043
33.044221,2,1,0,0.794720721244812,0.5154586434364319
33.27677,2,1,0,0.794720721244812,0.5154586434364319
33.604078,2,1,0,0.7859570159912109,0.4656648635864258
33.689344,2,1,0,0.7747306590080262,0.4018787443637848
33.955402,2,1,0,0.7741532874107361,0.39859822392463684
34.717136,2,1,0,0.7755335536003113,0.4064406454563141
34.832306,2,1,0,0.7755335536003113,0.4064406454563141
35.169942,2,1,0,0.797376727104187,0.5305495858192444
35.387502,2,1,0,0.797376727104187,0.5305495858192444
35.760063,2,1,0,0.765786235332489,0.35105815529823303
35.984772,2,1,0,0.7840287146568299,0.45470860600471497
36.320952,2,1,0,0.7840287146568299,0.45470860600471497
36.469807,2,1,0,0.7879928283691408,0.4772319793701172
36.731787,2,1,0,0.8019609136581421,0.5565961003303528
36.809829,2,1,0,0.7706296033859253,0.3785772919654846
37.074082,2,1,0,0.800400957107544,0.5477327108383179
37.148899,2,1,0,0.800400957107544,0.5477327108383179
37.40192,2,1,0,0.7824376592636109,0.4456685185432434
37.484547,2,1,0,0.7824376592636109,0.4456685185432434
38.15366,2,1,0,0.7939989595413209,0.5113577246665955
38.379561,2,1,0,0.7939989595413209,0.5113577246665955
39.207095,2,1,0,0.7756635298728943,0.4071791470050812
39.421723,2,1,0,0.8265577955245972,0.6963511109352112
39.766149,2,1,0,0.8414969577789307,0.7812327146530151
39.884875,2,1,0,0.7792646279335023,0.4276399314403534
40.209971,2,1,0,0.8207602138519288,0.6634103059768677
40.815597,2,1,0,0.8126983175277711,0.6176040768623352
40.815597,13,1,0,0.75,0.37587088346481323
41.033782,2,1,0,0.8126983175277711,0.6176040768623352
41.033782,13,1,0,0.75,0.37587088346481323
41.358194,2,1,0,0.7930294036865234,0.5058488845825195
41.592325,2,1,0,0.7965181493759156,0.5256713032722473
41.926618,2,1,0,0.8273327856063843,0.7007544636726379
42.143766,2,1,0,0.8139060897827148,0.6244664192199707
42.477235,2,1,0,0.836989917755127,0.755624532699585
