timestamp,weather_id,weather_name,detection_count,avg_confidence,avg_detection_time
0.027216,1,CLEARNOON,0,0,0
7.066967,1,CLEARNOON,1,0.47320884466171265,0.04457113742828369
8.969576,1,CLEARNOON,1,0.47320884466171265,0.03343093395233154
11.209636,1,CLEARNOON,2,0.5185002982616425,0.04527529080708822
13.8288,1,CLEARNOON,8,0.5027778185904026,0.050158345699310304
16.038844,1,CLEARNOON,12,0.4926225617527962,0.054253849983215335
17.928404,1,CLEARNOON,12,0.4926225617527962,0.055187753836313885
19.755934,1,CLEARNOON,13,0.4848126769065857,0.052032913480486186
21.604381,1,CLEARNOON,23,0.4672681119131005,0.052905219793319705
23.613938,1,CLEARNOON,33,0.4822751066901467,0.05261715518103705
25.650177,1,CLEARNOON,39,0.46576891877712345,0.05523162364959717
27.453574,1,CLEARNOON,44,0.45015207813544705,0.05254362929951061
29.715723,1,CLEARNOON,53,0.43629856042142184,0.05247208078702291
31.749351,1,CLEARNOON,59,0.42741469912609814,0.05547995750720684
34.120694,1,CLEARNOON,62,0.4254516858247019,0.05789214542933873
35.99218,1,CLEARNOON,69,0.43156687461811566,0.05916898886362711
38.044642,1,CLEARNOON,76,0.4309583486695039,0.05788131058216095
40.132581,1,CLEARNOON,84,0.4385883197897956,0.05792810916900635
42.525472,1,CLEARNOON,91,0.4484308208083058,0.05948210292392307
45.052391,1,CLEARNOON,102,0.4639957929943122,0.06108601344259162
47.564736,1,CLEARNOON,113,0.47704892823126466,0.06181301951408386
50.536771,1,CLEARNOON,122,0.48601151318823704,0.0631756964183989
52.819236,1,CLEARNOON,132,0.496959477437265,0.06510289799083363
55.439144,1,CLEARNOON,144,0.5199109450396564,0.06600669363270635
58.156939,1,CLEARNOON,154,0.5386445446834935,0.06595904330412547
60.729285,1,CLEARNOON,164,0.558206290915245,0.06708790206909179
63.614018,1,CLEARNOON,174,0.5774554029620927,0.06795950027612539
66.325325,1,CLEARNOON,183,0.5879109467639297,0.06944730811648898
71.800096,1,CLEARNOON,189,0.5901390364561131,0.07063923733575003
79.106127,1,CLEARNOON,189,0.5901390364561131,0.07146976898456442
83.278458,1,CLEARNOON,190,0.5888043391077142,0.07245520989100139
90.154011,1,CLEARNOON,190,0.5888043391077142,0.07347908712202503
99.216413,1,CLEARNOON,190,0.5888043391077142,0.07478350400924683
109.385129,1,CLEARNOON,195,0.5849860220383375,0.07521125692309755
112.732232,1,CLEARNOON,205,0.5823111336405684,0.0756907442036797
116.424778,1,CLEARNOON,215,0.5797899368197419,0.07690945148468017
125.526991,1,CLEARNOON,225,0.5798353571361966,0.0782001793384552
135.997283,1,CLEARNOON,235,0.5806612243043615,0.0783104606576868
142.687671,1,CLEARNOON,245,0.5838990994862148,0.07860339127088847
145.645195,1,CLEARNOON,255,0.5870606169981115,0.07954267416244898
149.74884,1,CLEARNOON,265,0.5891158580780029,0.07985852301120758
158.091531,1,CLEARNOON,275,0.5908342105692084,0.08034236082216588
162.883482,1,CLEARNOON,285,0.5935226576370105,0.08079089607511247
168.417415,1,CLEARNOON,292,0.5958896803937547,0.0814171269882557
176.49445,1,CLEARNOON,301,0.5977946666388021,0.08213290626352483
186.018869,1,CLEARNOON,311,0.6022817820214765,0.08237641122606065
188.677854,1,CLEARNOON,320,0.6048382379114627,0.08226032930871714
191.22828,1,CLEARNOON,330,0.6094142697074196,0.08160451117982255
193.599545,1,CLEARNOON,340,0.6137456008616615,0.08197539697090785
196.409206,1,CLEARNOON,350,0.6190464251382011,0.08250364381439831
198.935223,1,CLEARNOON,359,0.6230422271659447,0.08244922065734864
202.471159,1,CLEARNOON,369,0.6263009023860218,0.08275224414526247
205.864439,1,CLEARNOON,379,0.6294193563486467,0.08323195714216966
208.754143,1,CLEARNOON,389,0.6325969783383347,0.08320622354183557
212.898746,1,CLEARNOON,398,0.6353397474217055,0.08335072817625823
215.640753,1,CLEARNOON,407,0.6365743733448244,0.08388418544422496
218.433336,1,CLEARNOON,417,0.6390158509750732,0.08418382661683219
221.130721,1,CLEARNOON,427,0.6408651934574583,0.08439869378742419
223.278415,1,CLEARNOON,435,0.6430186241522603,0.08371866448172208
225.704374,1,CLEARNOON,445,0.644324181187019,0.08332431639655162
228.130526,1,CLEARNOON,455,0.6476355725592309,0.08298982620239258
230.641435,1,CLEARNOON,465,0.6515775421614288,0.08283836098968006
233.283787,1,CLEARNOON,475,0.6553398826247767,0.08289335504654916
235.96181,1,CLEARNOON,487,0.6580083872625715,0.08298722146049378
238.829556,1,CLEARNOON,506,0.6576559064769933,0.08334946632385254
241.091581,1,CLEARNOON,526,0.6604291427271448,0.08367073939396785
244.718511,1,CLEARNOON,543,0.6623270263000088,0.08371988932291667
247.15391,1,CLEARNOON,562,0.6666860033714899,0.0840062294433366
249.962313,1,CLEARNOON,578,0.6705405785860075,0.08414892414036919
251.914152,1,CLEARNOON,595,0.6731919028678862,0.08422126873679783
254.80484,1,CLEARNOON,614,0.6757025943905213,0.08453571557998657
256.933721,1,CLEARNOON,634,0.6800582988029023,0.08473995134864055
258.92928,1,CLEARNOON,654,0.6845902609168937,0.08475374976793924
261.212521,1,CLEARNOON,674,0.6889021427588929,0.08472582216132177
263.564691,1,CLEARNOON,691,0.69048935528602,0.08468154314401988
265.288053,1,CLEARNOON,703,0.6889079924497971,0.08467296155293783
267.279313,1,CLEARNOON,709,0.689493375705563,0.08444053436580458
269.219513,1,CLEARNOON,722,0.6889800444204061,0.08439770116434468
271.014023,1,CLEARNOON,726,0.6884405001300097,0.0841354862237588
