timestamp,warnings_count,warning_types,high_severity,medium_severity,low_severity
6.405319,0,{},0,0,0
6.454249,0,{},0,0,0
6.517151,0,{},0,0,0
6.567733,0,{},0,0,0
6.621506,0,{},0,0,0
6.673509,0,{},0,0,0
6.720282,0,{},0,0,0
6.95912,1,{'car': 1},0,0,1
7.00355,0,{},0,0,0
7.047557,0,{},0,0,0
7.079761,0,{},0,0,0
7.146729,0,{},0,0,0
7.196604,0,{},0,0,0
7.253123,0,{},0,0,0
7.52103,0,{},0,0,0
7.593522,0,{},0,0,0
7.856786,0,{},0,0,0
7.929143,0,{},0,0,0
8.203984,0,{},0,0,0
8.271393,1,{'car': 1},0,0,1
8.551993,1,{'car': 1},0,0,1
8.655813,0,{},0,0,0
8.96315,0,{},0,0,0
9.022799,1,{'car': 1},0,0,1
9.281085,1,{'car': 1},0,0,1
9.342338,0,{},0,0,0
9.633722,0,{},0,0,0
9.692168,0,{},0,0,0
9.972808,0,{},0,0,0
10.033815,0,{},0,0,0
10.315266,0,{},0,0,0
10.401311,0,{},0,0,0
10.716046,0,{},0,0,0
10.808762,1,{'car': 1},0,0,1
11.116953,1,{'car': 1},0,0,1
11.190983,1,{'car': 1},0,0,1
11.484232,1,{'car': 1},0,0,1
11.558904,0,{},0,0,0
11.828214,0,{},0,0,0
11.892305,0,{},0,0,0
12.154971,0,{},0,0,0
12.242852,0,{},0,0,0
12.489992,0,{},0,0,0
12.569303,0,{},0,0,0
12.862371,0,{},0,0,0
12.97539,0,{},0,0,0
13.259115,0,{},0,0,0
13.330554,0,{},0,0,0
13.591471,0,{},0,0,0
13.663338,0,{},0,0,0
13.934021,0,{},0,0,0
14.00454,0,{},0,0,0
14.25482,0,{},0,0,0
14.343691,0,{},0,0,0
14.607846,0,{},0,0,0
14.715584,0,{},0,0,0
14.992893,0,{},0,0,0
15.106874,0,{},0,0,0
15.424297,0,{},0,0,0
15.634016,0,{},0,0,0
15.91394,0,{},0,0,0
15.986016,0,{},0,0,0
16.259336,0,{},0,0,0
16.329581,0,{},0,0,0
16.599768,0,{},0,0,0
16.666803,0,{},0,0,0
16.929621,0,{},0,0,0
16.996137,0,{},0,0,0
17.258795,0,{},0,0,0
17.377465,0,{},0,0,0
17.666267,0,{},0,0,0
17.732246,0,{},0,0,0
17.989467,0,{},0,0,0
18.052473,0,{},0,0,0
18.309935,0,{},0,0,0
18.411606,0,{},0,0,0
18.662297,0,{},0,0,0
18.726504,0,{},0,0,0
18.97766,0,{},0,0,0
19.043636,0,{},0,0,0
19.297246,0,{},0,0,0
19.413109,0,{},0,0,0
19.705582,0,{},0,0,0
19.784462,0,{},0,0,0
20.048916,0,{},0,0,0
20.129429,0,{},0,0,0
20.390204,0,{},0,0,0
20.472903,0,{},0,0,0
20.754972,0,{},0,0,0
20.826472,0,{},0,0,0
21.080368,0,{},0,0,0
21.150403,0,{},0,0,0
21.403999,0,{},0,0,0
21.523012,0,{},0,0,0
21.803322,0,{},0,0,0
21.884982,0,{},0,0,0
22.192469,0,{},0,0,0
22.266209,0,{},0,0,0
22.51577,0,{},0,0,0
22.601509,0,{},0,0,0
22.876541,0,{},0,0,0
22.940946,0,{},0,0,0
23.205634,0,{},0,0,0
23.286093,0,{},0,0,0
23.548999,0,{},0,0,0
23.656584,0,{},0,0,0
23.932361,0,{},0,0,0
24.005981,0,{},0,0,0
24.275876,0,{},0,0,0
24.362185,1,{'car': 1},0,0,1
24.618212,0,{},0,0,0
24.693235,0,{},0,0,0
24.961783,0,{},0,0,0
25.033945,0,{},0,0,0
25.306191,0,{},0,0,0
25.386239,0,{},0,0,0
25.656838,0,{},0,0,0
25.772168,1,{'car': 1},0,0,1
26.075915,1,{'car': 1},0,0,1
26.148436,1,{'car': 1},0,0,1
26.440203,1,{'car': 1},0,0,1
26.510108,0,{},0,0,0
26.779837,0,{},0,0,0
26.844838,0,{},0,0,0
27.113492,0,{},0,0,0
27.192004,0,{},0,0,0
27.459827,0,{},0,0,0
27.53736,0,{},0,0,0
27.814728,0,{},0,0,0
27.947761,0,{},0,0,0
28.231154,0,{},0,0,0
28.343692,1,{'car': 1},0,0,1
28.615323,1,{'car': 1},0,0,1
28.689914,1,{'car': 1},0,0,1
28.954671,1,{'car': 1},0,0,1
29.051093,0,{},0,0,0
29.319557,0,{},0,0,0
29.398429,1,{'car': 1},0,0,1
29.674597,1,{'car': 1},0,0,1
29.787336,1,{'car': 1},0,0,1
30.065644,1,{'car': 1},0,0,1
30.145566,0,{},0,0,0
30.430744,0,{},0,0,0
30.565804,0,{},0,0,0
30.855185,0,{},0,0,0
30.982863,1,{'car': 1},0,0,1
31.272296,1,{'car': 1},0,0,1
31.365436,1,{'car': 1},0,0,1
31.636966,1,{'car': 1},0,0,1
31.72504,0,{},0,0,0
31.998207,0,{},0,0,0
32.09716,0,{},0,0,0
32.37042,0,{},0,0,0
32.447618,1,{'car': 1},0,0,1
32.712115,1,{'car': 1},0,0,1
32.800657,1,{'car': 1},0,0,1
33.08727,1,{'car': 1},0,0,1
33.212298,1,{'car': 1},0,0,1
33.500898,1,{'car': 1},0,0,1
33.568408,0,{},0,0,0
33.861448,0,{},0,0,0
33.949947,1,{'car': 1},0,0,1
34.227248,1,{'car': 1},0,0,1
34.312907,1,{'car': 1},0,0,1
34.597583,1,{'car': 1},0,0,1
34.688573,1,{'car': 1},0,0,1
34.968526,1,{'car': 1},0,0,1
35.040777,1,{'car': 1},0,0,1
35.341163,1,{'car': 1},0,0,1
35.46891,1,{'car': 1},0,0,1
35.747498,1,{'car': 1},0,0,1
35.833027,0,{},0,0,0
36.119584,0,{},0,0,0
36.197238,1,{'car': 1},0,0,1
36.469781,1,{'car': 1},0,0,1
36.551837,1,{'car': 1},0,0,1
36.850682,1,{'car': 1},0,0,1
36.9322,1,{'car': 1},0,0,1
37.22041,1,{'car': 1},0,0,1
37.301451,1,{'car': 1},0,0,1
37.578594,1,{'car': 1},0,0,1
37.710753,1,{'car': 1},0,0,1
38.008261,1,{'car': 1},0,0,1
38.083306,1,{'car': 1},0,0,1
38.396016,1,{'car': 1},0,0,1
38.48153,0,{},0,0,0
38.777855,0,{},0,0,0
38.851416,1,{'car': 1},0,0,1
39.134536,1,{'car': 1},0,0,1
39.231573,1,{'car': 1},0,0,1
39.52111,1,{'car': 1},0,0,1
39.635628,0,{},0,0,0
39.950821,0,{},0,0,0
40.035815,1,{'car': 1},0,0,1
40.327098,1,{'car': 1},0,0,1
40.430645,1,{'car': 1},0,0,1
40.700139,1,{'car': 1},0,0,1
40.779421,1,{'car': 1},0,0,1
41.070983,0,{},0,0,0
41.167722,1,{'car': 1},0,0,1
41.443842,1,{'car': 1},0,0,1
41.521352,1,{'car': 1},0,0,1
41.818348,1,{'car': 1},0,0,1
41.944905,1,{'car': 1},0,0,1
42.242885,1,{'car': 1},0,0,1
42.319462,1,{'car': 1},0,0,1
42.599587,1,{'car': 1},0,0,1
42.68056,1,{'car': 1},0,0,1
42.961959,1,{'car': 1},0,0,1
43.072066,1,{'car': 1},0,0,1
43.372344,1,{'car': 1},0,0,1
43.45683,1,{'car': 1},0,0,1
43.731533,1,{'car': 1},0,0,1
43.831013,1,{'car': 1},0,0,1
44.128945,1,{'car': 1},0,0,1
44.251974,1,{'car': 1},0,0,1
44.558024,1,{'car': 1},0,0,1
44.635915,1,{'car': 1},0,0,1
44.946198,1,{'car': 1},0,0,1
45.035408,1,{'car': 1},0,0,1
45.329471,1,{'car': 1},0,0,1
45.425085,1,{'car': 1},0,0,1
45.705327,1,{'car': 1},0,0,1
45.795883,1,{'car': 1},0,0,1
46.077572,1,{'car': 1},0,0,1
46.150201,1,{'car': 1},0,0,1
