timestamp,class_id,true_positives,false_negatives,precision,avg_confidence
7.06079,2,1,0,0.7827398986816406,0.4473857879638672
7.349115,2,1,0,0.7827398986816406,0.4473857879638672
7.770102,2,1,0,0.788359589099884,0.479315847158432
8.037329,2,1,0,0.788359589099884,0.479315847158432
9.411743,2,1,0,0.8044502477645875,0.5707400441169739
9.712627,2,1,0,0.8044502477645875,0.5707400441169739
9.829853,2,1,0,0.7888724918365478,0.4822300672531128
10.097074,2,1,0,0.7888724918365478,0.4822300672531128
23.099131,2,1,0,0.8025891218185426,0.5601654648780823
23.3542,2,1,0,0.8025891218185426,0.5601654648780823
23.416107,2,1,0,0.7759489741325379,0.40880098938941956
23.658667,2,1,0,0.7759489741325379,0.40880098938941956
24.492695,2,1,0,0.7754607186317445,0.40602681040763855
24.768926,2,1,0,0.7754607186317445,0.40602681040763855
24.84391,2,1,0,0.7803071970939637,0.43356361985206604
25.118014,2,1,0,0.7803071970939637,0.43356361985206604
27.023541,2,1,0,0.7822448925971985,0.4445732533931732
27.313792,2,1,0,0.7822448925971985,0.4445732533931732
27.393002,2,1,0,0.8066849060058594,0.5834369659423828
27.645296,2,1,0,0.8066849060058594,0.5834369659423828
28.044245,2,1,0,0.7839156541824341,0.4540662169456482
28.303788,2,1,0,0.7839156541824341,0.4540662169456482
28.416794,2,1,0,0.77522545003891,0.40469005703926086
28.703234,2,1,0,0.77522545003891,0.40469005703926086
29.053203,2,1,0,0.7897824149131776,0.487400084733963
29.150174,2,1,0,0.7897824149131776,0.487400084733963
29.667287,2,1,0,0.7777431187629701,0.4189949929714203
29.961487,2,1,0,0.7777431187629701,0.4189949929714203
30.038983,2,1,0,0.7875925559997559,0.4749577045440674
31.209591,2,1,0,0.8153002347946168,0.6323876976966858
31.502314,2,1,0,0.840085262298584,0.7732117176055908
31.622408,2,1,0,0.840085262298584,0.7732117176055908
31.932754,2,1,0,0.8045352306365967,0.5712229013442993
32.059308,2,1,0,0.7776869373321534,0.4186757802963257
32.363276,2,1,0,0.7776869373321534,0.4186757802963257
32.857611,2,1,0,0.7725696907043458,0.3896005153656006
32.941562,2,1,0,0.8105288572311402,0.6052775979042053
33.218353,2,1,0,0.8114754915237427,0.610656201839447
33.299359,2,1,0,0.8444174480438232,0.7978264093399048
33.565808,2,1,0,0.8444174480438232,0.7978264093399048
33.649322,2,1,0,0.7867173037528993,0.46998468041419983
33.940985,2,1,0,0.7867173037528993,0.46998468041419983
34.030026,2,1,0,0.8435838899612428,0.793090283870697
34.301482,2,1,0,0.8435838899612428,0.793090283870697
34.433735,2,1,0,0.8236083097457886,0.6795926690101624
34.715257,2,1,0,0.8236083097457886,0.6795926690101624
35.256632,2,1,0,0.8446010723114014,0.7988697290420532
35.552181,2,1,0,0.8446010723114014,0.7988697290420532
35.761452,2,1,0,0.8174707231521607,0.6447200179100037
36.065734,2,1,0,0.8174707231521607,0.6447200179100037
36.177763,2,1,0,0.7983639802932739,0.5361589789390564
36.46224,2,1,0,0.8333393259048462,0.7348825335502625
36.537809,2,1,0,0.7897822103500367,0.4873989224433899
36.818818,2,1,0,0.8202093200683594,0.6602802276611328
36.895862,2,1,0,0.8202093200683594,0.6602802276611328
37.173003,2,1,0,0.8183894424438477,0.649940013885498
37.275014,2,1,0,0.8301182746887207,0.7165811061859131
37.573947,2,1,0,0.8301182746887207,0.7165811061859131
38.008562,2,1,0,0.7954161415100098,0.5194098949432373
38.302225,2,1,0,0.7954161415100098,0.5194098949432373
38.435832,2,1,0,0.83416175365448,0.7395554184913635
38.712517,2,1,0,0.83416175365448,0.7395554184913635
39.203255,2,1,0,0.792724877357483,0.5041186213493347
39.495811,2,1,0,0.792724877357483,0.5041186213493347
39.583321,2,1,0,0.8192482299804688,0.6548194885253906
39.884557,2,1,0,0.8192482299804688,0.6548194885253906
40.523939,2,1,0,0.8416221084594727,0.7819437980651855
40.849048,2,1,0,0.8416221084594727,0.7819437980651855
40.969096,2,1,0,0.8154264554977417,0.6331048607826233
41.270755,2,1,0,0.8010529785156251,0.5514373779296875
41.490295,2,1,0,0.8486128387451173,0.8216638565063477
41.801738,2,1,0,0.8486128387451173,0.8216638565063477
41.885599,2,1,0,0.8510392827987671,0.8354504704475403
42.192292,2,1,0,0.8524443063735963,0.8434335589408875
42.283189,2,1,0,0.8465638294219971,0.8100217580795288
42.572568,2,1,0,0.8465638294219971,0.8100217580795288
42.675583,2,1,0,0.8429747953414918,0.7896295189857483
42.97229,2,1,0,0.8429747953414918,0.7896295189857483
43.191551,2,1,0,0.8410777397155762,0.778850793838501
43.499087,2,1,0,0.8410777397155762,0.778850793838501
43.627133,2,1,0,0.8467426805496217,0.8110379576683044
43.934541,2,1,0,0.8437027883529663,0.7937658429145813
44.017756,2,1,0,0.8413310832977295,0.7802902460098267
44.314329,2,1,0,0.830269567489624,0.7174407243728638
44.406955,2,1,0,0.830269567489624,0.7174407243728638
44.698643,2,1,0,0.8465852088928223,0.810143232345581
44.788674,2,1,0,0.850076566696167,0.8299804925918579
45.09451,2,1,0,0.850076566696167,0.8299804925918579
45.204081,2,1,0,0.8407304859161377,0.776877760887146
45.494611,2,1,0,0.8407304859161377,0.776877760887146
45.61268,2,1,0,0.8342408828735353,0.7400050163269043
45.90546,2,1,0,0.8342408828735353,0.7400050163269043
45.991125,2,1,0,0.8566362352371216,0.8672513365745544
46.28902,2,1,0,0.8571383275985718,0.8701041340827942
46.379184,2,1,0,0.8571383275985718,0.8701041340827942
46.664461,2,1,0,0.8522636194229126,0.8424069285392761
